field_name,data_models
parent_process_id,Endpoint
parent_process_name,Endpoint
parent_process_path,Endpoint
password,Inventory
physical_reads,Databases
power,Performance
prevalence_dest_domain,Prevalence
prevalence_dest_ip,Prevalence
prevalence_file_hash,Prevalence
prevalence_min,Prevalence
prevalence_process_hash,Prevalence
process_current_directory,Endpoint
process_exec,Endpoint
process_guid,Endpoint
process_hash,Endpoint
process_id,Endpoint
process_integrity_level,Endpoint
process_limit,Databases
process_name,Endpoint
process_path,Endpoint
processes,Databases
product,Authentication
product_version,Endpoint
protocol,Network
protocol_version,Network
query,DNS
query_count,DNS
query_id,Databases
query_plan_hit,Databases
query_time,Databases
query_type,DNS
read_blocks,Inventory
read_latency,Inventory
read_ops,Inventory
reason,Authentication
recipient,Email
recipient_count,Email
recipient_domain,Email
recipient_status,Email
record_type,DNS
records_affected,Databases
registry_hive,Endpoint
registry_key_name,Endpoint
registry_path,Endpoint
registry_value_data,Endpoint
registry_value_name,Endpoint
registry_value_text,Endpoint
registry_value_type,Endpoint
reply_code,DNS
reply_code_id,DNS
resource_id,Cloud
resource_name,Cloud
resource_type,Cloud
response_time,Authentication
result,System
result_id,System
risk_entity,Risk
risk_level,Risk
risk_score,Risk
retries,Email
return_addr,Email
rule,Network
rule_action,Network
rule_id,Alerts
rule_name,Alerts
seconds_in_wait,Databases
sender,Email
sender_domain,Email
serial,Inventory
serial_num,Databases
service,Endpoint
service_dll,Endpoint
service_dll_hash,Endpoint
service_dll_path,Endpoint
service_dll_signature_exists,Endpoint
service_dll_signature_verified,Endpoint
service_exec,Endpoint
service_hash,Endpoint
service_id,Endpoint
service_name,Endpoint
service_path,Endpoint
service_signature_exists,Endpoint
service_signature_verified,Endpoint
session_id,Authentication
session_limit,Databases
session_status,Databases
sessions,Databases
severity,Alerts
severity_id,Alerts
sga_buffer_cache_size,Databases
sga_buffer_hit_limit,Databases
sga_data_dict_hit_ratio,Databases
sga_fixed_area_size,Databases
sga_free_memory,Databases
sga_library_cache_size,Databases
sga_redo_log_buffer_size,Databases
sga_shared_pool_size,Databases
sga_sql_area_size,Databases
shell,Inventory
signature,Alerts
signature_extra,Email
signature_id,Alerts
signature_version,Endpoint
site,Web
size,Email
snapshot,Inventory
source,System
source_type,System
src,Alerts
src_dns,Network
src_host,Network
src_interface,Network
src_ip,Network
src_ip_range,Network
src_mac,Network
src_nt_domain,Authentication
src_nt_host,Network
src_port,Network
src_port_range,Network
src_translated_ip,Network
src_translated_port,Network
src_type,Alerts
src_user,Authentication
src_user_domain,Authentication
src_user_id,Authentication
src_user_name,Authentication
src_user_role,Authentication
src_user_identity_account_status,Enrichment
src_user_identity_company,Enrichment
src_user_identity_country,Enrichment
src_user_identity_department,Enrichment
src_user_identity_display_name,Enrichment
src_user_identity_email,Enrichment
src_user_identity_employee_id,Enrichment
src_user_identity_employee_type,Enrichment
src_user_identity_groups,Enrichment
src_user_identity_manager,Enrichment
src_user_identity_manager_upn,Enrichment
src_user_identity_mfa_enabled,Enrichment
src_user_identity_office_location,Enrichment
src_user_identity_phone,Enrichment
src_user_identity_title,Enrichment
src_user_type,Authentication
src_zone,Data Loss Prevention
ssid,Network
ssl_end_time,Certificates
ssl_engine,Certificates
ssl_hash,Certificates
ssl_is_valid,Certificates
ssl_issuer,Certificates
ssl_issuer_common_name,Certificates
ssl_issuer_email,Certificates
ssl_issuer_email_domain,Certificates
ssl_issuer_locality,Certificates
ssl_issuer_organization,Certificates
ssl_issuer_state,Certificates
ssl_issuer_street,Certificates
ssl_issuer_unit,Certificates
ssl_name,Certificates
ssl_policies,Certificates
ssl_publickey,Certificates
ssl_publickey_algorithm,Certificates
ssl_serial,Certificates
ssl_session_id,Certificates
ssl_signature_algorithm,Certificates
ssl_start_time,Certificates
ssl_subject,Certificates
ssl_subject_common_name,Certificates
ssl_subject_email,Certificates
ssl_subject_email_domain,Certificates
ssl_subject_locality,Certificates
ssl_subject_organization,Certificates
ssl_subject_state,Certificates
ssl_subject_street,Certificates
ssl_subject_unit,Certificates
ssl_validity_window,Certificates
ssl_version,Certificates
start_mode,Endpoint
start_time,System
state,Endpoint
status,System
status_code,Web
storage,Inventory
storage_free,Performance
storage_free_percent,Performance
storage_name,Web
storage_used,Performance
storage_used_percent,Performance
stored_procedures_called,Databases
subject,Email
swap,Performance
swap_free,Performance
swap_used,Performance
table_scans,Databases
tables_hit,Databases
tablespace_name,Databases
tablespace_reads,Databases
tablespace_status,Databases
tablespace_used,Databases
tablespace_writes,Databases
tag,Alerts
tcp_flag,Network
temperature,Performance
tags,System
thruput,Performance
thruput_max,Performance
time,System
timestamp,System
tos,Network
transaction_id,DNS
transport,Network
transport_dest_port,Endpoint
ttl,DNS
type,Alerts
uri_path,Web
uri_query,Web
url,Web
url_domain,Web
url_length,Web
user,Authentication
user_identity_account_status,Enrichment
user_identity_company,Enrichment
user_identity_country,Enrichment
user_identity_department,Enrichment
user_identity_display_name,Enrichment
user_identity_email,Enrichment
user_identity_employee_id,Enrichment
user_identity_employee_type,Enrichment
user_identity_groups,Enrichment
user_identity_manager,Enrichment
user_identity_manager_upn,Enrichment
user_identity_mfa_enabled,Enrichment
user_identity_office_location,Enrichment
user_identity_phone,Enrichment
user_identity_title,Enrichment
user_agent,Web
user_domain,Authentication
user_group,Data Access
user_id,Authentication
user_name,Authentication
user_role,Authentication
user_type,Authentication
vendor,Authentication
vendor_account,Alerts
vendor_product,Authentication
vendor_product_id,Alerts
vendor_region,Alerts
version,Inventory
vip_port,Inventory
vlan,Network
wait_state,Databases
wait_time,Databases
wifi,Network
write_blocks,Inventory
write_latency,Inventory
write_ops,Inventory
xdelay,Email
xref,Email
